,City,Suburb,Sales Q1 2022,Median Q1 2022,Sales Q1 2023,Median Q1 2023,Median Change
466,WEST TORRENS,KURRALTA PARK,13,804250,5,781500,-0.03
467,WEST TORRENS,LOCKLEYS,14,996500,11,1215000,0.22
468,WEST TORRENS,MARLESTON,2,715000,2,777500,0.09
469,WEST TORRENS,MILE END,16,903000,11,901000,-0.0
470,WEST TORRENS,MILE END SOUTH,0,0,0,0,0.0
471,WEST TORRENS,NETLEY,3,900000,5,755000,-0.16
472,WEST TORRENS,NORTH PLYMPTON,13,700500,8,780000,0.11
473,WEST TORRENS,NOVAR GARDENS,9,990000,6,880000,-0.11
474,WEST TORRENS,PLYMPTON,13,830000,5,850000,0.02
475,WEST TORRENS,RICHMOND,12,775000,3,811000,0.05
476,WEST TORRENS,THEBARTON,9,832500,2,1112500,0.34
477,WEST TORRENS,TORRENSVILLE,12,941500,7,1011500,0.07
478,WEST TORRENS,UNDERDALE,9,775555,8,835500,0.08
479,WEST TORRENS,WEST BEACH,17,1020000,23,1230000,0.21
480,WEST TORRENS,WEST RICHMOND,0,0,0,0,0.0
